Date,Ethereum - Average fees per user (AFPU) ($)
2022-09-05,7.722359999999999
2022-09-12,6.290909999999999
2022-09-19,4.7720202857142855
2022-09-26,5.886324571428572
2022-10-03,6.837187714285714
2022-10-10,8.460356142857142
2022-10-17,11.323594857142854
2022-10-24,9.033393571428572
2022-10-31,10.32580357142857
2022-11-07,14.357705999999997
2022-11-14,7.227631142857143
2022-11-21,5.621521285714286
2022-11-28,5.547851428571429
2022-12-05,6.239376714285716
2022-12-12,7.077007714285714
2022-12-19,6.371541428571429
2022-12-26,7.767316142857142
2023-01-02,8.522457142857142
2023-01-09,11.102483857142857
2023-01-16,12.160971285714286
2023-01-23,12.432931142857143
2023-01-30,13.832509857142856
2023-02-06,15.400630428571429
2023-02-13,19.41634757142857
2023-02-20,16.064165285714285
2023-02-27,15.09004185714286
2023-03-06,23.177387857142858
2023-03-13,14.387780857142856
2023-03-20,12.146935714285716
2023-03-27,14.916466714285715
2023-04-03,16.90832585714286
2023-04-10,16.31461714285714
2023-04-17,40.26731242857143
2023-04-24,30.38252114285714
2023-05-01,73.34394642857144
2023-05-08,54.698744571428556
2023-05-15,32.142316571428566
2023-05-22,27.221128571428572
2023-05-29,23.193517285714282
2023-06-05,15.291085571428571
2023-06-12,11.369774142857143
2023-06-19,12.641831285714284
2023-06-26,16.145583
2023-07-03,26.185859285714287
2023-07-10,17.260819857142856
2023-07-17,19.416397571428572
2023-07-24,23.35152814285715
2023-07-31,15.405667142857144
2023-08-07,15.36498642857143
2023-08-14,16.830917857142857
2023-08-21,14.654645428571428
2023-08-28,14.176561142857143
2023-09-04,11.026007857142856
2023-09-11,8.720227714285715
2023-09-18,8.309924714285714
2023-09-25,7.774813857142858
2023-10-02,7.256411285714286
2023-10-09,5.474409571428571
2023-10-16,7.283802714285714
2023-10-23,14.930745428571427
2023-10-30,16.685321285714284
2023-11-06,25.325695857142858
2023-11-13,26.406576571428577
2023-11-20,24.426496999999994
2023-11-27,30.716680142857143
2023-12-04,34.90659571428571
2023-12-11,37.805879714285716
2023-12-18,28.31650971428572
2023-12-25,17.299861857142858
2024-01-01,17.161276714285712
2024-01-08,21.76151685714286
2024-01-15,23.518603571428574
2024-01-22,12.263652428571428
2024-01-29,16.636773285714288
2024-02-05,33.62965114285714
2024-02-12,26.310601714285717
2024-02-19,34.64297571428572
2024-02-26,49.62178285714286
2024-03-04,76.34673185714287
2024-03-11,50.110277857142854
2024-03-18,23.649740285714284
2024-03-25,26.604063999999997
2024-04-01,24.34941571428572
2024-04-08,23.909343571428572
2024-04-15,11.304874285714286
2024-04-22,11.477356428571426
2024-04-29,8.056788714285714
2024-05-06,5.587389285714285
2024-05-13,7.002247285714286
2024-05-20,14.262219285714284
2024-05-27,18.62874814285714
2024-06-03,19.219054857142858
2024-06-10,13.776894285714283
2024-06-17,9.294774714285714
2024-06-24,6.661471571428571
2024-07-01,7.508112
2024-07-08,5.810342571428571
2024-07-15,12.114865428571425
2024-07-22,7.077337142857142
2024-07-29,8.189566285714285
2024-08-05,11.703143857142859
2024-08-12,4.208770142857143
2024-08-19,3.272059428571429
2024-08-26,2.549105142857143
2024-09-02,5.086577857142856
2024-09-09,4.610809000000001
2024-09-16,14.824211142857143
2024-09-23,19.24558157142857
2024-09-30,10.122504142857142
2024-10-07,17.716241714285715
2024-10-14,14.317066428571426
2024-10-21,8.421488857142858
2024-10-28,9.896953142857143
2024-11-04,14.13488842857143
2024-11-11,25.378141857142857
2024-11-18,14.360916428571429
2024-11-25,13.413330142857143
2024-12-02,23.09564428571429
2024-12-09,19.67719514285714
2024-12-16,16.082461428571428
2024-12-23,7.05216257142857
2024-12-30,14.869589571428572
2025-01-06,9.633204000000001
2025-01-13,14.198462714285714
2025-01-20,12.609294
2025-01-27,6.5492351428571425
2025-02-03,7.326466000000001
2025-02-10,2.298866142857143
2025-02-17,3.207958142857143
2025-02-24,3.332623428571428
2025-03-03,2.235165285714286
2025-03-10,2.1984807142857146
2025-03-17,1.3521941428571427
2025-03-24,1.278892857142857
2025-03-31,1.8971742857142857
2025-04-07,2.442739
2025-04-14,1.2546455714285716
2025-04-21,1.8831495714285715
2025-04-28,1.2778111428571428
2025-05-05,4.064997285714286
2025-05-12,3.579841571428571
2025-05-19,2.9423909999999998
2025-05-26,3.584167571428572
2025-06-02,3.2630782857142857
2025-06-09,3.146671142857143
2025-06-16,2.603049714285714
2025-06-23,2.798635
2025-06-30,2.004896857142857
2025-07-07,3.2874878571428567
2025-07-14,5.585825571428571
2025-07-21,2.6051435714285716
2025-07-28,2.259878571428571
2025-08-04,1.9601684285714285
2025-08-11,3.0570617142857146
2025-08-18,2.6458035714285715
2025-08-25,2.0999519999999996
2025-09-01,3.067733571428571